                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0505,                0.59544,                  1.409,                0.91185,                0.86521,                0.91407,                0.55109,                 1.5273,                0.71458,                 2.0776,              0.0004085,              0.0004085,              0.0004085
                     36,                  1.044,                0.58604,                 1.4022,                0.89502,                0.87364,                0.91195,                0.54691,                 1.5515,                  0.723,                 2.1366,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.0305,                 0.5832,                 1.3895,                0.90278,                0.86731,                0.91102,                0.54859,                 1.5412,                0.71948,                 2.1331,               0.000359,               0.000359,               0.000359
                     38,                 1.0282,                0.57647,                 1.3908,                0.91503,                0.85564,                0.91376,                0.54726,                 1.5458,                0.71804,                 2.1418,             0.00033425,             0.00033425,             0.00033425
                     39,                  1.013,                0.57334,                 1.3813,                0.90044,                0.88443,                 0.9143,                 0.5477,                 1.5479,                 0.7132,                 2.1442,              0.0003095,              0.0003095,              0.0003095
                     40,                0.98767,                0.56212,                  1.362,                0.91183,                0.87805,                0.91894,                 0.5486,                 1.5487,                0.70578,                  2.173,             0.00028475,             0.00028475,             0.00028475
                     41,                0.91689,                 0.4377,                 1.4044,                0.91736,                0.87005,                 0.9145,                0.54966,                 1.5411,                0.70179,                 2.1823,                0.00026,                0.00026,                0.00026
                     42,                0.88471,                0.42409,                 1.3752,                0.91931,                0.86966,                 0.9196,                0.54965,                 1.5471,                 0.7147,                  2.213,             0.00023525,             0.00023525,             0.00023525
                     43,                0.86187,                0.41118,                 1.3561,                0.92792,                0.84949,                0.91434,                0.55021,                 1.5561,                  0.719,                  2.247,              0.0002105,              0.0002105,              0.0002105
                     44,                0.84696,                 0.4054,                 1.3378,                0.89999,                0.87139,                0.91564,                0.54749,                 1.5565,                0.72476,                 2.2722,             0.00018575,             0.00018575,             0.00018575
                     45,                0.82516,                0.40013,                 1.3212,                0.90871,                0.87178,                0.91568,                 0.5456,                 1.5632,                0.73474,                 2.3032,               0.000161,               0.000161,               0.000161
                     46,                 0.8114,                0.39103,                  1.304,                0.92199,                0.86069,                0.91658,                0.54199,                 1.5709,                0.73709,                 2.3327,             0.00013625,             0.00013625,             0.00013625
                     47,                0.79337,                0.38407,                  1.288,                0.90177,                0.87375,                0.91721,                 0.5424,                 1.5764,                0.73716,                 2.3542,              0.0001115,              0.0001115,              0.0001115
                     48,                0.77732,                0.37751,                 1.2797,                0.89312,                0.88081,                0.91382,                0.54267,                 1.5777,                0.74072,                 2.3615,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.76362,                0.37506,                 1.2657,                0.89592,                0.87887,                 0.9162,                 0.5422,                 1.5812,                0.74075,                 2.3879,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.75388,                 0.3722,                 1.2591,                0.90229,                0.87442,                0.91661,                0.54258,                 1.5808,                0.74161,                 2.3995,              3.725e-05,              3.725e-05,              3.725e-05
